iter	Passed	Remaining
0	323	68633
1	507	53525
2	689	48261
3	892	46614
4	1085	45149
5	1270	43819
6	1447	42587
7	1624	41636
8	1805	40919
9	1982	40252
10	2153	39550
11	2338	39169
12	2527	38879
13	2782	39551
14	2967	39173
15	3154	38833
16	3333	38433
17	3507	38000
18	3683	37611
19	3857	37226
20	4040	36938
21	4233	36750
22	4419	36506
23	4603	36255
24	4777	35928
25	4982	35834
26	5159	35540
27	5399	35678
28	5629	35720
29	5903	36009
30	6142	36064
31	6393	36162
32	6754	36843
33	6975	36726
34	7188	36558
35	7389	36333
36	7623	36262
37	8029	36976
38	8382	37398
39	8756	37873
40	9072	38058
41	9316	37929
42	9536	37700
43	9732	37382
44	9955	37168
45	10166	36907
46	10361	36595
47	10545	36249
48	10711	35850
49	10929	35628
50	11129	35351
51	11304	34999
52	11466	34614
53	11691	34426
54	11895	34172
55	12073	33849
56	12242	33505
57	12428	33214
58	12600	32889
59	12762	32544
60	12931	32222
61	13096	31895
62	13263	31579
63	13424	31254
64	13586	30935
65	13743	30610
66	13905	30302
67	14068	29999
68	14237	29712
69	14393	29404
70	14550	29101
71	14707	28802
72	14866	28510
73	15028	28228
74	15188	27947
75	15353	27677
76	15516	27404
77	15678	27135
78	15835	26859
79	15996	26594
80	16163	26339
81	16327	26084
82	16490	25828
83	16672	25604
84	16839	25357
85	17005	25112
86	17168	24864
87	17339	24629
88	17504	24387
89	17679	24162
90	17843	23921
91	18008	23685
92	18169	23444
93	18326	23199
94	18490	22966
95	18656	22737
96	18819	22505
97	18981	22273
98	19161	22064
99	19341	21855
100	19527	21654
101	19771	21516
102	19975	21333
103	20187	21158
104	20382	20965
105	20570	20764
106	20767	20572
107	20965	20382
108	21187	20215
109	21358	19998
110	21526	19781
111	21714	19581
112	21907	19387
113	22084	19178
114	22281	18987
115	22457	18778
116	22621	18560
117	22785	18343
118	22956	18133
119	23128	17924
120	23308	17722
121	23492	17522
122	23670	17319
123	23852	17120
124	24031	16918
125	24214	16719
126	24415	16533
127	24622	16350
128	24829	16168
129	25186	16080
130	25372	15881
131	25547	15677
132	25727	15475
133	25907	15273
134	26081	15069
135	26270	14873
136	26453	14674
137	26626	14470
138	26821	14278
139	26978	14067
140	27151	13864
141	27334	13667
142	27515	13468
143	27684	13265
144	27849	13060
145	28013	12855
146	28175	12650
147	28333	12443
148	28500	12241
149	28661	12037
150	28824	11835
151	28982	11631
152	29139	11427
153	29310	11229
154	29474	11029
155	29630	10826
156	29785	10623
157	29944	10423
158	30099	10222
159	30265	10025
160	30476	9843
161	30686	9660
162	30876	9471
163	31041	9274
164	31196	9075
165	31353	8877
166	31516	8681
167	31682	8486
168	31841	8290
169	32001	8094
170	32154	7897
171	32311	7702
172	32474	7508
173	32635	7314
174	32791	7120
175	32949	6926
176	33105	6733
177	33256	6539
178	33414	6346
179	33565	6153
180	33718	5961
181	33872	5769
182	34027	5578
183	34185	5387
184	34344	5198
185	34498	5007
186	34656	4818
187	34827	4631
188	35016	4446
189	35188	4259
190	35361	4073
191	35539	3887
192	35708	3700
193	36059	3531
194	36268	3347
195	36466	3162
196	36651	2976
197	36853	2791
198	37048	2606
199	37214	2418
200	37390	2232
201	37579	2046
202	37774	1860
203	37954	1674
204	38129	1487
205	38296	1301
206	38472	1115
207	38667	929
208	38862	743
209	39034	557
210	39203	371
211	39384	185
212	39569	0
